unit,sex,age,region,year,value
YR,F,Y65,BE,2021,22.2
YR,F,Y_LT1,BE,2021,84.4
YR,M,Y65,BE,2021,18.6
YR,M,Y_LT1,BE,2021,79.5
YR,T,Y65,BE,2021,20.4
YR,T,Y_LT1,BE,2021,81.9
YR,F,Y1,BE,2020,82.3
YR,F,Y10,BE,2020,73.3
YR,F,Y11,BE,2020,72.3
YR,F,Y12,BE,2020,71.4
YR,F,Y13,BE,2020,70.4
YR,F,Y14,BE,2020,69.4
YR,F,Y15,BE,2020,68.4
YR,F,Y16,BE,2020,67.4
YR,F,Y17,BE,2020,66.4
YR,F,Y18,BE,2020,65.4
YR,F,Y19,BE,2020,64.4
YR,F,Y2,BE,2020,81.3
YR,F,Y20,BE,2020,63.4
YR,F,Y21,BE,2020,62.4
YR,F,Y22,BE,2020,61.5
YR,F,Y23,BE,2020,60.5
YR,F,Y24,BE,2020,59.5
YR,F,Y25,BE,2020,58.5
YR,F,Y26,BE,2020,57.5
YR,F,Y27,BE,2020,56.5
YR,F,Y28,BE,2020,55.5
YR,F,Y29,BE,2020,54.5
YR,F,Y3,BE,2020,80.3
YR,F,Y30,BE,2020,53.5
YR,F,Y31,BE,2020,52.6
YR,F,Y32,BE,2020,51.6
YR,F,Y33,BE,2020,50.6
YR,F,Y34,BE,2020,49.6
YR,F,Y35,BE,2020,48.6
YR,F,Y36,BE,2020,47.6
YR,F,Y37,BE,2020,46.7
YR,F,Y38,BE,2020,45.7
YR,F,Y39,BE,2020,44.7
YR,F,Y4,BE,2020,79.3
YR,F,Y40,BE,2020,43.8
YR,F,Y41,BE,2020,42.8
YR,F,Y42,BE,2020,41.8
YR,F,Y43,BE,2020,40.9
YR,F,Y44,BE,2020,39.9
YR,F,Y45,BE,2020,38.9
YR,F,Y46,BE,2020,38.0
YR,F,Y47,BE,2020,37.0
YR,F,Y48,BE,2020,36.1
YR,F,Y49,BE,2020,35.1
YR,F,Y5,BE,2020,78.3
YR,F,Y50,BE,2020,34.2
YR,F,Y51,BE,2020,33.3
YR,F,Y52,BE,2020,32.3
YR,F,Y53,BE,2020,31.4
YR,F,Y54,BE,2020,30.5
YR,F,Y55,BE,2020,29.6
YR,F,Y56,BE,2020,28.7
YR,F,Y57,BE,2020,27.8
YR,F,Y58,BE,2020,26.9
YR,F,Y59,BE,2020,26.0
YR,F,Y6,BE,2020,77.3
YR,F,Y60,BE,2020,25.1
YR,F,Y61,BE,2020,24.2
YR,F,Y62,BE,2020,23.3
YR,F,Y63,BE,2020,22.4
YR,F,Y64,BE,2020,21.6
YR,F,Y65,BE,2020,20.8
YR,F,Y66,BE,2020,19.9
YR,F,Y67,BE,2020,19.1
YR,F,Y68,BE,2020,18.3
YR,F,Y69,BE,2020,17.5
YR,F,Y7,BE,2020,76.3
YR,F,Y70,BE,2020,16.7
YR,F,Y71,BE,2020,15.9
YR,F,Y72,BE,2020,15.1
YR,F,Y73,BE,2020,14.3
YR,F,Y74,BE,2020,13.5
YR,F,Y75,BE,2020,12.8
YR,F,Y76,BE,2020,12.1
YR,F,Y77,BE,2020,11.3
YR,F,Y78,BE,2020,10.6
YR,F,Y79,BE,2020,10.0
YR,F,Y8,BE,2020,75.3
YR,F,Y80,BE,2020,9.3
YR,F,Y81,BE,2020,8.6
YR,F,Y82,BE,2020,8.0
YR,F,Y83,BE,2020,7.4
YR,F,Y84,BE,2020,6.8
YR,F,Y9,BE,2020,74.3
