unit,sex,age,region,year,value
YR,F,Y65,ES,2021,23.5
YR,F,Y_LT1,ES,2021,86.2
YR,M,Y65,ES,2021,19.1
YR,M,Y_LT1,ES,2021,80.3
YR,T,Y65,ES,2021,21.4
YR,T,Y_LT1,ES,2021,83.3
YR,F,Y1,ES,2020,84.3
YR,F,Y10,ES,2020,75.4
YR,F,Y11,ES,2020,74.4
YR,F,Y12,ES,2020,73.4
YR,F,Y13,ES,2020,72.4
YR,F,Y14,ES,2020,71.4
YR,F,Y15,ES,2020,70.4
YR,F,Y16,ES,2020,69.4
YR,F,Y17,ES,2020,68.4
YR,F,Y18,ES,2020,67.5
YR,F,Y19,ES,2020,66.5
YR,F,Y2,ES,2020,83.4
YR,F,Y20,ES,2020,65.5
YR,F,Y21,ES,2020,64.5
YR,F,Y22,ES,2020,63.5
YR,F,Y23,ES,2020,62.5
YR,F,Y24,ES,2020,61.5
YR,F,Y25,ES,2020,60.5
YR,F,Y26,ES,2020,59.5
YR,F,Y27,ES,2020,58.5
YR,F,Y28,ES,2020,57.5
YR,F,Y29,ES,2020,56.6
YR,F,Y3,ES,2020,82.4
YR,F,Y30,ES,2020,55.6
YR,F,Y31,ES,2020,54.6
YR,F,Y32,ES,2020,53.6
YR,F,Y33,ES,2020,52.6
YR,F,Y34,ES,2020,51.6
YR,F,Y35,ES,2020,50.6
YR,F,Y36,ES,2020,49.6
YR,F,Y37,ES,2020,48.7
YR,F,Y38,ES,2020,47.7
YR,F,Y39,ES,2020,46.7
YR,F,Y4,ES,2020,81.4
YR,F,Y40,ES,2020,45.7
YR,F,Y41,ES,2020,44.8
YR,F,Y42,ES,2020,43.8
YR,F,Y43,ES,2020,42.8
YR,F,Y44,ES,2020,41.8
YR,F,Y45,ES,2020,40.9
YR,F,Y46,ES,2020,39.9
YR,F,Y47,ES,2020,38.9
YR,F,Y48,ES,2020,38.0
YR,F,Y49,ES,2020,37.0
YR,F,Y5,ES,2020,80.4
YR,F,Y50,ES,2020,36.1
YR,F,Y51,ES,2020,35.1
YR,F,Y52,ES,2020,34.2
YR,F,Y53,ES,2020,33.3
YR,F,Y54,ES,2020,32.3
YR,F,Y55,ES,2020,31.4
YR,F,Y56,ES,2020,30.5
YR,F,Y57,ES,2020,29.6
YR,F,Y58,ES,2020,28.6
YR,F,Y59,ES,2020,27.7
YR,F,Y6,ES,2020,79.4
YR,F,Y60,ES,2020,26.8
YR,F,Y61,ES,2020,25.9
YR,F,Y62,ES,2020,25.1
YR,F,Y63,ES,2020,24.2
YR,F,Y64,ES,2020,23.3
YR,F,Y65,ES,2020,22.4
YR,F,Y66,ES,2020,21.5
YR,F,Y67,ES,2020,20.7
YR,F,Y68,ES,2020,19.8
YR,F,Y69,ES,2020,19.0
YR,F,Y7,ES,2020,78.4
YR,F,Y70,ES,2020,18.1
YR,F,Y71,ES,2020,17.3
YR,F,Y72,ES,2020,16.4
YR,F,Y73,ES,2020,15.6
YR,F,Y74,ES,2020,14.8
YR,F,Y75,ES,2020,14.0
YR,F,Y76,ES,2020,13.2
YR,F,Y77,ES,2020,12.4
YR,F,Y78,ES,2020,11.7
YR,F,Y79,ES,2020,10.9
YR,F,Y8,ES,2020,77.4
YR,F,Y80,ES,2020,10.2
YR,F,Y81,ES,2020,9.5
YR,F,Y82,ES,2020,8.9
YR,F,Y83,ES,2020,8.3
YR,F,Y84,ES,2020,7.7
YR,F,Y9,ES,2020,76.4
YR,F,Y_GE85,ES,2020,7.1
YR,F,Y_LT1,ES,2020,85.2
YR,M,Y1,ES,2020,78.8
YR,M,Y10,ES,2020,69.9
YR,M,Y11,ES,2020,68.9
YR,M,Y12,ES,2020,67.9
YR,M,Y13,ES,2020,66.9
YR,M,Y14,ES,2020,65.9
YR,M,Y15,ES,2020,64.9
YR,M,Y16,ES,2020,63.9
YR,M,Y17,ES,2020,62.9
YR,M,Y18,ES,2020,62.0
YR,M,Y19,ES,2020,61.0
YR,M,Y2,ES,2020,77.9
YR,M,Y20,ES,2020,60.0
YR,M,Y21,ES,2020,59.0
YR,M,Y22,ES,2020,58.0
YR,M,Y23,ES,2020,57.1
YR,M,Y24,ES,2020,56.1
YR,M,Y25,ES,2020,55.1
YR,M,Y26,ES,2020,54.1
YR,M,Y27,ES,2020,53.1
YR,M,Y28,ES,2020,52.2
YR,M,Y29,ES,2020,51.2
YR,M,Y3,ES,2020,76.9
YR,M,Y30,ES,2020,50.2
YR,M,Y31,ES,2020,49.2
YR,M,Y32,ES,2020,48.3
YR,M,Y33,ES,2020,47.3
YR,M,Y34,ES,2020,46.3
YR,M,Y35,ES,2020,45.3
YR,M,Y36,ES,2020,44.4
YR,M,Y37,ES,2020,43.4
YR,M,Y38,ES,2020,42.4
YR,M,Y39,ES,2020,41.5
YR,M,Y4,ES,2020,75.9
YR,M,Y40,ES,2020,40.5
YR,M,Y41,ES,2020,39.5
YR,M,Y42,ES,2020,38.6
YR,M,Y43,ES,2020,37.6
YR,M,Y44,ES,2020,36.7
YR,M,Y45,ES,2020,35.7
YR,M,Y46,ES,2020,34.8
YR,M,Y47,ES,2020,33.8
YR,M,Y48,ES,2020,32.9
YR,M,Y49,ES,2020,32.0
YR,M,Y5,ES,2020,74.9
YR,M,Y50,ES,2020,31.0
YR,M,Y51,ES,2020,30.1
YR,M,Y52,ES,2020,29.2
YR,M,Y53,ES,2020,28.3
YR,M,Y54,ES,2020,27.5
YR,M,Y55,ES,2020,26.6
YR,M,Y56,ES,2020,25.7
YR,M,Y57,ES,2020,24.9
YR,M,Y58,ES,2020,24.0
YR,M,Y59,ES,2020,23.2
YR,M,Y6,ES,2020,73.9
YR,M,Y60,ES,2020,22.3
YR,M,Y61,ES,2020,21.5
YR,M,Y62,ES,2020,20.7
YR,M,Y63,ES,2020,19.9
YR,M,Y64,ES,2020,19.2
YR,M,Y65,ES,2020,18.4
YR,M,Y66,ES,2020,17.6
YR,M,Y67,ES,2020,16.9
YR,M,Y68,ES,2020,16.1
YR,M,Y69,ES,2020,15.4
YR,M,Y7,ES,2020,72.9
YR,M,Y70,ES,2020,14.7
YR,M,Y71,ES,2020,14.0
YR,M,Y72,ES,2020,13.3
YR,M,Y73,ES,2020,12.6
YR,M,Y74,ES,2020,11.9
YR,M,Y75,ES,2020,11.3
YR,M,Y76,ES,2020,10.7
YR,M,Y77,ES,2020,10.1
YR,M,Y78,ES,2020,9.5
YR,M,Y79,ES,2020,8.9
YR,M,Y8,ES,2020,71.9
YR,M,Y80,ES,2020,8.3
YR,M,Y81,ES,2020,7.8
YR,M,Y82,ES,2020,7.3
YR,M,Y83,ES,2020,6.8
YR,M,Y84,ES,2020,6.3
YR,M,Y9,ES,2020,70.9
YR,M,Y_GE85,ES,2020,5.9
YR,M,Y_LT1,ES,2020,79.6
YR,T,Y1,ES,2020,81.6
YR,T,Y10,ES,2020,72.7
YR,T,Y11,ES,2020,71.7
YR,T,Y12,ES,2020,70.7
YR,T,Y13,ES,2020,69.7
YR,T,Y14,ES,2020,68.7
YR,T,Y15,ES,2020,67.7
YR,T,Y16,ES,2020,66.7
YR,T,Y17,ES,2020,65.7
YR,T,Y18,ES,2020,64.7
YR,T,Y19,ES,2020,63.7
YR,T,Y2,ES,2020,80.6
YR,T,Y20,ES,2020,62.7
YR,T,Y21,ES,2020,61.8
YR,T,Y22,ES,2020,60.8
YR,T,Y23,ES,2020,59.8
YR,T,Y24,ES,2020,58.8
YR,T,Y25,ES,2020,57.8
YR,T,Y26,ES,2020,56.8
YR,T,Y27,ES,2020,55.8
YR,T,Y28,ES,2020,54.9
YR,T,Y29,ES,2020,53.9
YR,T,Y3,ES,2020,79.6
YR,T,Y30,ES,2020,52.9
YR,T,Y31,ES,2020,51.9
YR,T,Y32,ES,2020,50.9
YR,T,Y33,ES,2020,50.0
YR,T,Y34,ES,2020,49.0
YR,T,Y35,ES,2020,48.0
YR,T,Y36,ES,2020,47.0
YR,T,Y37,ES,2020,46.1
YR,T,Y38,ES,2020,45.1
YR,T,Y39,ES,2020,44.1
YR,T,Y4,ES,2020,78.6
YR,T,Y40,ES,2020,43.1
YR,T,Y41,ES,2020,42.2
YR,T,Y42,ES,2020,41.2
YR,T,Y43,ES,2020,40.2
YR,T,Y44,ES,2020,39.3
YR,T,Y45,ES,2020,38.3
YR,T,Y46,ES,2020,37.4
YR,T,Y47,ES,2020,36.4
YR,T,Y48,ES,2020,35.5
YR,T,Y49,ES,2020,34.5
YR,T,Y5,ES,2020,77.6
YR,T,Y50,ES,2020,33.6
YR,T,Y51,ES,2020,32.7
YR,T,Y52,ES,2020,31.7
YR,T,Y53,ES,2020,30.8
YR,T,Y54,ES,2020,29.9
YR,T,Y55,ES,2020,29.0
YR,T,Y56,ES,2020,28.1
YR,T,Y57,ES,2020,27.3
YR,T,Y58,ES,2020,26.4
YR,T,Y59,ES,2020,25.5
YR,T,Y6,ES,2020,76.6
YR,T,Y60,ES,2020,24.7
YR,T,Y61,ES,2020,23.8
YR,T,Y62,ES,2020,23.0
YR,T,Y63,ES,2020,22.1
YR,T,Y64,ES,2020,21.3
YR,T,Y65,ES,2020,20.5
YR,T,Y66,ES,2020,19.7
YR,T,Y67,ES,2020,18.9
YR,T,Y68,ES,2020,18.1
YR,T,Y69,ES,2020,17.3
YR,T,Y7,ES,2020,75.6
YR,T,Y70,ES,2020,16.5
YR,T,Y71,ES,2020,15.7
YR,T,Y72,ES,2020,15.0
YR,T,Y73,ES,2020,14.2
YR,T,Y74,ES,2020,13.5
YR,T,Y75,ES,2020,12.8
YR,T,Y76,ES,2020,12.1
YR,T,Y77,ES,2020,11.4
YR,T,Y78,ES,2020,10.7
YR,T,Y79,ES,2020,10.0
YR,T,Y8,ES,2020,74.7
YR,T,Y80,ES,2020,9.4
YR,T,Y81,ES,2020,8.8
YR,T,Y82,ES,2020,8.2
YR,T,Y83,ES,2020,7.7
YR,T,Y84,ES,2020,7.1
YR,T,Y9,ES,2020,73.7
